efta_number,page_number,inspection_type,doc_type,severity,description,flags,timestamp
EFTA00062500,3,partial_redaction,MCC jail staff roster,medium,MCC staff roster page showing Friday August 09 2019 shift assignments. Original shows officer names in cleartext. Current version replaces names with '<reassigned>' placeholders. Same systematic name-replacement pattern seen across MCC roster documents.,agent_batch_002,1772672472
EFTA00062964,1,minor_change,document,low,Document page. Both versions appear very similar with same content layout. Minor rendering or reprocessing differences; no substantive content removal detected.,agent_batch_001,1772672472
EFTA00063517,36,partial_redaction,legal_filing,medium,Legal filing — names/addresses/identifiers partially redacted in court documents. Batch-classified. pct_changed=15.0%,"legal_filing,batch_classified",2026-03-04 18:47:11
EFTA00066443,3,minor_change,handwritten_interview_notes,low,"Handwritten FBI interview notes page 4 of 5. References Prince Andrew, Bill Clinton, Epstein, Maxwell, Thailand underage trafficking, Australia, defamation suit. Both versions appear virtually identical. Minor rendering differences only.",agent_batch_001,1772672472
EFTA00068319,0,name_redaction,email,medium,Current version applies black bar redactions over personal names and contact information; original showed more personal details visible.,,1772695986
EFTA00072648,0,name_redaction,email,medium,"Current version redacts sender email (was ""jose.leon <jcc.israelleon@gmail.com>"") and recipient email addresses in the forwarded tip email about trafficking connections. Original showed full email addresses visibly.",,1772695986
EFTA00072666,1,name_redaction,email,low,Original showed Gloria Allred email about Maxwell bail hearing with existing redactions; current version shows very similar layout with minor positioning differences in existing redaction bars.,,1772696995
EFTA00076068,24,name_redaction,court_filing,high,"NPA signature page (Non-Prosecution Agreement); current version redacts the name of Assistant U.S. Attorney ""A. MARIE VILLAFANA"" under the signature line that was visible in original. R. Alexander Acosta and attorney names remain.",,1772713228
EFTA00076815,24,name_redaction,investigation_report,medium,FBI interview/302 page: current version redacts victim names and identifying details with additional black bars over text that was partially visible in original.,,1772713228
EFTA00081015,85,name_redaction,court_filing,medium,Current version adds black redaction bars over the defendant name (Sarah Kellen) in paragraphs 7 and 8 of this court complaint page. Original showed the full name in plain text.,,1772713228
EFTA00081180,21,partial_redaction,legal_filing,medium,Legal filing — names/addresses/identifiers partially redacted in court documents. Batch-classified. pct_changed=8.4%,"legal_filing,batch_classified",2026-03-04 18:47:11
EFTA00084191,8,name_redaction,email,medium,Current version redacts the To field name/email address. Larry Visoski email thread about passport and flight arrangements from USVI shows expanded header redactions in forwarded messages.,,1772695986
EFTA00084366,112,name_redaction,court_filing,low,Current version has very minor differences in redaction box placement. The article headline and embedded Daily Mail article content appears the same in both versions with identical name redactions applied.,,1772695986
EFTA00089603,1,partial_redaction,email,medium,Email from Richard Kahn about computer repair: current version redacts second recipient name (Svet) from To/Subject lines and body; sends name to vika redacted; email addresses partially redacted.,,1772695986
EFTA00089852,3,partial_redaction,evidence_chain_of_custody,medium,"FBI Evidence Chain of Custody form (FD-1087) for Case 31E-MM-108062. Shows custody transfers from FBI agent (Kashinda Yellana) through multiple handlers 2019-2021 with dates, signatures, reasons (transferred to NY, storage, etc.). Both versions show redactions over signatures and some names. Current version nearly identical - very minor differences in redaction positioning. Barcode E4229229 visible in both.",agent_batch_005,1772672472
EFTA00090416,1,formatting_only,other,low,Both versions show the same college application form. Very minor rendering differences in scan quality but no substantive content changes. Same handwritten information visible in both.,,1772695986
EFTA00090490,0,content_removal,SDNY AUSA email (article access),high,SDNY AUSA email asking for access to Times article about Epstein victim. Original shows the full URL to thetimes.co.uk article about 'Anouska' and naked ambition. Current version replaces the URL with a large black redaction box covering the entire link. AUSA title and SDNY office details preserved.,agent_batch_002,1772672472
EFTA00090718,1,no_visible_change,fbi_report,none,Both versions of this FBI/DOJ investigation workflow page (UNCLASSIFIED//FOUO) appear visually identical. Same redaction patterns over agent names and case details in both versions.,,1772695986
EFTA00090773,29,name_redaction,fbi_302,medium,Current version adds new black redaction bars over victim names and contact list references. The FBI 302 about Maxwell's massage books and contact information system (Cirrus) shows names now more heavily redacted.,,1772695986
EFTA00092647,11,name_redaction,court_filing,medium,"Current version redacts victim names in the court document with black bars in multiple places including in footnotes and body text. Original showed names like ""Giuffre"" visibly in the Dershowitz filing.",,1772695986
EFTA00094970,0,partial_redaction,legal_email,medium,Email from SDNY USAO to court re United States v. Rayshaun Jones sealing request. Original shows some names and addresses visible including Bonita Robinson. Current version adds redactions over defendant name in subject line and some AUSA contact details. Request to seal sentencing transcript portions.,agent_batch_006,1772672472
EFTA00095067,116,name_redaction,court_filing,medium,"Maxwell prosecution brief page 91: current version redacts ""Boies Schiller"" law firm name references with black bars in several places on the page. Original showed the firm name visible in context of prosecution timeline.",,1772696995
EFTA00096990,9,no_visible_change,investigation_report,none,Computer forensic activity log showing internet browsing history dated 8/30/2019. Both original and current versions appear identical with same timestamps and URLs visible.,,1772695399
EFTA00097901,0,name_redaction,investigation_report,high,Current version redacts victim/complainant names with black bars throughout the Palm Beach Police Department investigation narrative. Original showed names of complainant's family members and associated individuals visibly.,,1772695986
EFTA00098090,0,name_redaction,fbi_302,medium,Current version applies expanded redaction bars over agent names and interview subject details. FBI 302 about MCC inmate interview regarding Epstein's death on August 9 2019 shows agent/interviewee names more heavily covered.,,1772695986
EFTA00098091,3,minor_change,handwritten_interview_notes,low,"Handwritten interview notes page 4 of 5 from MCC inmate about conditions before Epstein's death. Mentions officers, suicide watch, breakfast, Lt. references, inmates saying 'miss Noel killed Jeffrey'. Both versions appear virtually identical. Minor rendering differences only.",agent_batch_001,1772672472
EFTA00098341,15,partial_redaction,deposition_transcript,low,Draft deposition transcript (page 6 of victim). DRAFT watermark. Discusses sexual abuse at Epstein's house. Both versions appear identical - same redaction of one name on line 5. Subject to protective order paragraphs 7-17.,agent_batch_003,1772672472
EFTA00102492,6,name_redaction,email,medium,Black redaction bars applied over names and email addresses in the email. Original showed the recipient name and email visible.,,1772696995
EFTA00105002,55,minor_change,dental_record,low,"Same BOP A&O Dental Examination form as above - Epstein Jeffrey E., 76318-054, MCC New York, 7-26-19. Different EFTA stamp (EFTA00105057). Original and current virtually identical. Minor reprocessing.",agent_batch_000,1772672472
EFTA00105124,0,formatting_only,other,low,Document appears to be a dense text page with stream-of-consciousness notes about various topics. Differences are very subtle - minor rendering/compression differences; no substantive redaction changes visible.,,1772695986
EFTA00105177,5,minor_change,MCC staff roster,low,"MCC staff roster for Saturday August 10, 2019 showing shift assignments. Both versions appear nearly identical with same '<reassigned>' placeholders for officer names and same shift structure. Minor rendering differences only.",agent_batch_002,1772672472
EFTA00105184,2,minor_change,MCC_staff_roster,low,Friday August 09 2019 MCC staff roster/change records page. Original and current appear virtually identical - same redaction pattern with <Reassigned> replacing officer names. No substantive change.,agent_batch_000,1772672472
EFTA00106361,19,content_removal,legal_timeline,critical,"Epstein Investigation Timeline table. Original shows full timeline with To/From columns containing names like Goldberger, Villafana, Acosta, Sloman, and detailed Re: descriptions of victim notification letters, email chains. Current version has massive black redactions covering the To, From, and Re columns for multiple entries (rows B-67 through B-69), removing attorney names and descriptions of victim notification correspondence.",agent_batch_000,1772672472
EFTA00108691,0,name_redaction,fbi_report,high,"FBI interview report (FD-302 style) about ALFREDO RODRIGUEZ. Original shows full name, date of birth, social security number, and address in the first line. Current version redacts date of birth, social security number, and parts of the address with black boxes.",,1772695399
EFTA00109739,34,name_redaction,email,medium,"Current version redacts names ""Elen capri"" in the To/From fields and throughout the email body with black bars. Original showed the name and email addresses of Elen capri visibly.",,1772695986
EFTA00109783,9,name_redaction,legal_filing,medium,Original shows settlement agreement with some text visible in handwritten section; current version has expanded redaction box in the handwritten portion near paragraph 6 of this Epstein settlement agreement.,,1772696995
EFTA00109863,21,partial_redaction,BOP_staff_roster,critical,"CRITICAL: MCC Special Assignments — SATURDAY AUGUST 10, 2019 (the night Epstein died). Staff roster: PHONE RM, BODY SEARCH, LOBBY, DRY CELL, ESCORT assignments with officer names. DAY OFF/SICK LEAVE/ANNUAL LEAVE/COP lists with ~40+ officer names. Change Records at bottom. ALL OFFICER NAMES blacked out throughout, categories and date preserved","mcc,special_assignments,august_10_2019,epstein_death,officer_names_removed,staff_roster,critical,partial_redaction",2026-03-04 18:44:55
EFTA00120653,15,no_visible_change,court_filing,none,Prisoner Remand or Order to Deliver form for BANKS JAMIE at MCC New York. Both versions appear identical.,,1772695399
EFTA00120887,127,partial_redaction,financial_document,medium,"Financial/banking document — account numbers, transaction details, or employee emails blacked out. Batch-classified. pct_changed=6.3%","financial,banking,batch_classified",2026-03-04 18:47:11
EFTA00121398,9,partial_redaction,email,medium,"Email about package delivery to Epstein property. Original shows some names partially visible. Current version adds ""Lesley Groff"" name visibility in some places while expanding redaction over other personal names in the thread.",,1772695399
EFTA00123438,11,partial_redaction,financial_document,medium,"Financial/banking document — account numbers, transaction details, or employee emails blacked out. Batch-classified. pct_changed=6.6%","financial,banking,batch_classified",2026-03-04 18:47:11
EFTA00125463,0,name_redaction,investigation_report,medium,DOJ OIG Memorandum of Investigation re MCC computers: current version has minor additional redactions over agent names and identifying details in the signature blocks. Overall document content unchanged.,,1772696995
EFTA00126075,1,partial_redaction,email,medium,Email chain with multiple forwards. Original shows some readable email addresses and names. Current version has additional black redaction bars over email headers and some body text. Moderate redaction.,agent_batch_001,1772672472
EFTA00129247,5,partial_redaction,handwritten_letter,medium,"Handwritten letter page (from Jodie Steeu, Wooster Ohio). Current version redacts the name and address block (72223 McQuaid Road / Wooster Ohio 44691) with black bars. The letter content about forwarding copies to prosecutors/law enforcement, urgency about victims, and references to 302 documents remains visible.",agent_batch_005,1772672472
EFTA00129253,5,partial_redaction,handwritten letter (law enforcement),medium,"Handwritten letter from Jodie Steen of Wooster Ohio to prosecutors/law enforcement about Epstein case, mentioning 302 documents, phone records, and requesting signed return receipt. Original shows full name and address. Current version redacts the name and address at the signature block with black box.",agent_batch_002,1772672472
EFTA00131225,11,minor_change,handwritten_interview_notes,low,"Handwritten MCC inmate interview notes (1 of 5) about Rayshawn Jones dated 8/28/19. Details about H-tier conditions, suicide watch, cleaning supplies, dead mice, no counselors. Both versions appear virtually identical. Minor rendering differences only.",agent_batch_001,1772672472
EFTA00132208,22,minor_change,email_metadata,low,Email metadata/properties page. Both versions appear very similar with same structured data. Minor rendering differences only.,agent_batch_001,1772672472
EFTA00134151,153,full_page_blackout,financial_document,medium,"Full page blackout confirmed visually. Original: JPMorgan Chase bank statement — transaction details, overdraft summary, account number","financial,bank_statement,Chase,full_blackout",1772667058
EFTA00134560,23,partial_redaction,BOP_staff_schedule,low,MCC New York staff schedule — rotated document showing officer assignments and schedule grid. Appears to be daily roster with positions/assignments. Document is rotated 90 degrees making it hard to read. Current version appears to have formatting changes from re-processing. Officer names and schedule details partially visible in both versions.,"BOP,mcc,staff_schedule,rotated_document",1772668225
EFTA00135165,4,name_redaction,email,medium,Skype message log page. Current version adds expanded black redaction bars over names in the Participants fields and sender names that were visible in the original (e.g. Mariana username redacted).,,1772695399
EFTA00135207,0,name_redaction,fbi_report,high,FBI FD-302 interview with BOP Captain at MCC. Original shows the captain's full name visible in the first paragraph. Current version redacts the captain's name throughout the document with black boxes while leaving the rest of the interview content intact.,,1772695399
EFTA00140116,1,partial_redaction,email (AUSA/DOJ internal),high,"SDNY AUSA email asking 'Do you have access to this article?' with link to Times article about Epstein victim. Original shows the full URL (thetimes.co.uk article about Anouska). Current version covers the entire URL with a large black redaction box. AUSA title and office details (SDNY, 10007) preserved.",agent_batch_002,1772672472
EFTA00140747,0,name_redaction,other,high,Names and DOB of inmates redacted with black bars on MCC New York Prisoner Schedule Report. Multiple inmate names and identifying numbers redacted throughout. Original showed full names and DOBs of prisoners.,,1772696995
EFTA00140751,1,name_redaction,court_filing,medium,Original shows prisoner schedule report with inmate names partially visible in the booking entries; current version has expanded black redaction bars covering additional inmate name fields in this Brooklyn MDC prisoner schedule.,,1772696995
EFTA00143524,26,partial_redaction,financial_document,medium,"Financial/banking document — account numbers, transaction details, or employee emails blacked out. Batch-classified. pct_changed=8.3%","financial,banking,batch_classified",2026-03-04 18:47:11
EFTA00147661,0,partial_redaction,fbi_report,low,FBI tip email about purported Epstein victim interview: current version redacts one name in the From/To fields; body content about conspiracy claims unchanged.,,1772713228
EFTA00148007,0,partial_redaction,FBI_CID_meeting,critical,"SIGNIFICANT: FBI CID UC Weekly Meeting email — From Sean Watson (NY)(FBI) Feb 11, 2019. MASSIVE CC list of ~80+ FBI CID agents by name (DEJESUS-TRESKOW, VONDRAN, SHUPES, THOMPSON, MARKER, MAXWELL, GILLESPIE, DURLACHER, JOHNSON, GIORDANO, SWANSON, etc plus ITESO/CON/DOD). CID Room 3853 / Skype. ALL AGENT NAMES in CC blacked out, only (CID)(FBI) labels preserved","fbi,cid,weekly_meeting,agent_names_removed,government_employee_names,significant,partial_redaction",2026-03-04 18:42:01
EFTA00151067,38,partial_redaction,FBI 302 victim interview,critical,"FBI 302 investigation of sexual exploitation of minors. Original shows victim's detailed account of visiting Epstein's Palm Beach residence, descriptions of rooms, massage table, encounters. Current version adds redactions over victim identifying details - names, school information, and some descriptive passages - but core narrative of sexual assault account remains readable.",agent_batch_002,1772672472
EFTA00151545,5,full_page_blackout,financial_document,medium,"Entire FinCEN SAR narrative page blacked out. Original showed full Charles Schwab SAR: attempted wires for real estate, flight risk concern, Southern Trust Company LLC (USVI), 3 subjects including Epstein.","SAR,FinCEN,Charles_Schwab,financial,full_blackout",1772666661
EFTA00151545,5,full_page_blackout,financial_document,medium,"Full page blackout confirmed visually. Original: FinCEN SAR from Charles Schwab — flight risk, Southern Trust Co LLC, USVI accounts","SAR,FinCEN,Charles_Schwab,financial,full_blackout",1772667058
EFTA00151554,9,full_page_blackout,financial_document,medium,"Full page blackout confirmed visually. Original: FinCEN SAR from Charles Schwab — sex offender referral, extended customer relationship","SAR,FinCEN,Charles_Schwab,financial,full_blackout",1772667058
EFTA00153942,17,partial_redaction,handwritten_interview_notes,high,"Handwritten notes - flight log references with names. Original shows full text including 'Pamela Johane[?]ff', trip references #915 (PB-SHF to ranch in NM), #933 (Gwendolyn Beck, Robin Plant), #934 (JE, GM, Trump, Marc Ep., Eva, Glenn Dubin/Chef), #935 (Florida - JE, Nasser, Alan & Adam Dersh., Celine Middlefart). Current version has black redaction bars over 'Pamela' name at top and over entries #933 (Beck/Plant names), partial #935 (Nasser and some text). Key passenger names from flight logs selectively redacted.",agent_batch_001,1772672472
EFTA00154737,53,image_redaction,photo_page,medium,Current version adds a black redaction bar over a face/person visible in one of the social media screenshots on this page of captured tweets about Ghislaine Maxwell trial. Rest of page identical.,,1772713228
EFTA00155017,3,name_redaction,email,medium,Current version applies black bar redactions in the email thread over names and email addresses; original showed more contact details visible in the forwarded message chain.,,1772695986
EFTA00155037,11,partial_redaction,skype_log,medium,"Skype chat log between Self (jeevacation) and Mariana (mariananzr). Original shows full username 'Mariana (mariananzr)' visible. Current version redacts usernames with black bars, showing only partial text. Chat content about meeting at 1 o'clock at 9 east 71 and giving money remains visible.",agent_batch_006,1772672472
EFTA00155633,0,name_redaction,email,high,"DOJ/FBI prosecution email about defense witness list (Maxwell trial). Current version significantly expands redactions — the From/To/Cc fields now have much larger black boxes over names, the attachment filenames (GRAMZA-001.pdf etc.) are redacted, and a block of text listing people to contact is now fully redacted with a large black box.",,1772695399
EFTA00156337,20,name_redaction,investigation_report,high,Court opinion/report about Maxwell supervision of employees: current version reveals Juan Alessi and Larry Visoski/David Rodgers names (previously redacted) while maintaining victim name redactions.,,1772695986
EFTA00156640,0,name_redaction,email,medium,Original showed recipient name and email in header and inline text references; current version has black redaction bars over those name and email fields.,,1772696995
EFTA00156666,0,content_removal,fbi_email,critical,"FBI internal email re: Epstein Claims dated Aug 7 2023. Original shows full email body: SF95 claim received about negligence in Epstein investigations, litigation hold on Epstein/Maxwell (50D-NY-3027571), request to preserve physical files. From FBI Assistant General Counsel, Litigation Branch/OGC. Current version has ENTIRE email body paragraph blacked out - the substantive content about the SF95 claim, litigation hold, and file preservation request is completely removed. Only header and signature block remain.",agent_batch_001,1772672472
EFTA00161367,3,partial_redaction,FBI_investigative_update,high,"SIGNIFICANT: FBI/DOJ internal investigative update — laptop/phone evidence processing status. Dell laptop decrypted by STKU, Samsung phone EDAU extraction, Sinclair Community College body-cam, CART/CAIR processing. Headers: 'New York (Epstein):' and 'Houston:'. ALL case detail bullets blacked out, only section headers preserved","fbi,investigative_update,device_extraction,dell_laptop,samsung_phone,stku,edau,cart,significant,partial_redaction",2026-03-04 18:41:06
EFTA00161394,1,partial_redaction,FBI_VCAC_update,high,"SIGNIFICANT: FBI VCAC investigative update — Case 31E-NY-3027574. VCAC: Virgin Islands evidence needs imaging, mid-September target for AUSA load files from NY apartment digital media. Pittsburgh HIGH PRIORITY CI case: CART imaging, Martinsburg RA. Oklahoma City: Army CID joint case Ft Meade. Signed SSA DEFO/OTD. Pittsburgh and Oklahoma City sections COMPLETELY blacked out, SSA name blacked out","fbi,vcac,digital_evidence,virgin_islands,ny_apartment,pittsburgh_ci,oklahoma_city,army_cid,defo,otd,significant,partial_redaction",2026-03-04 18:44:55
EFTA00162461,3,content_removal,fbi_email,critical,"FBI internal email re: Epstein Claims, same thread as EFTA00156666. Original (smaller/different rendering) shows full email text with office/cell phone numbers visible. Current version has the ENTIRE email body paragraph blacked out with large black rectangle, and phone numbers redacted. Substantive content about SF95 negligence claim and litigation hold completely removed.",agent_batch_001,1772672472
EFTA00164447,0,name_redaction,email,medium,Current version shows the same FBI report document about Epstein sex trafficking with slightly repositioned redaction bars. The tip report content is unchanged but some name redactions appear slightly different in extent.,,1772695986
EFTA00164448,0,content_removal,fbi_email,critical,"FBI internal email re: USB password dated Apr 30 2025. Original shows full header: From Kristen M. Warden (NY FBI) to Shannon Vh Parry (IMD FBI), Cc Leslie R. Backschies and Kevin P. Coughlin (NY FBI). Body contains password 'EpsteinC20!'. Current version has ENTIRE From/To/Cc header block blacked out as one large rectangle, and the password text blacked out. FBI agent names and evidence access credentials completely removed.",agent_batch_001,1772672472
EFTA00165900,2,partial_redaction,financial_document,medium,"Financial/banking document — account numbers, transaction details, or employee emails blacked out. Batch-classified. pct_changed=18.0%","financial,banking,batch_classified",2026-03-04 18:47:11
EFTA00167459,26,name_redaction,travel_record,high,Passenger name on line 2 of JEGE Inc flight manifest (PBI to JFK) redacted with black bar. Original showed a second passenger name (Andreanna Muguska visible) plus additional passenger name. Also name on line 3 partially redacted.,,1772696995
EFTA00168246,9,name_redaction,travel_record,medium,Shmitka Air flight log for N722JE handwritten. Current version adds black box redactions over two passenger names at bottom of the log page that were previously legible.,,1772695399
EFTA00169752,0,partial_redaction,legal filing (victim disclosure list),critical,"Plaintiff's Initial Disclosure in C.M.A. vs. Epstein (Case 08-CV-80811). Original shows victim pseudonym 'C.M.A.' in case caption and 'MARRA/JOHNSON' judge names. Current version redacts 'C.M.A.' references, replaces with black boxes, and redacts judge names from case numbers (08-80994-CIV, 08-80993-CIV, 08-80811-CIV, 08-80893-CIV, 09-80469-CIV). Victim pseudonyms (Jane Doe No. 6, Jane Doe No. 7, Jane Doe, Doe II) also redacted.",agent_batch_002,1772672472
EFTA00172329,23,name_redaction,fbi_report,medium,FBI 302 interview report page with heavy pre-existing redactions; both versions show same extensive redactions over victim identifying information with only minor rendering differences.,,1772713228
EFTA00173201,2,content_removal,fbi_intelligence_brief,critical,"FBI UNCLASSIFIED//LAW ENFORCEMENT SENSITIVE internal document. Original has names REDACTED with black bars for co-conspirator and former girlfriend entries - only role labels visible (Co-conspirator, Former Girlfriend). Current version REVEALS names: Leslie Wexner (Co-conspirator) with photo, and Karyna Shuliak (Former Girlfriend). DOB field for Shuliak still redacted. Intelligence source categories (HUMINT, FISUR, Financials, OGA Liaison, Access to Weapons) listed. This is a REVERSE alteration - the current version has MORE information than original.",agent_batch_006,1772672472
EFTA00173690,0,formatting_only,fbi_report,low,FBI Information Management Division Field Office File Request Form (Matthew Dresch requester). Both versions nearly identical with minor text rendering differences; no substantive changes.,,1772696995
EFTA00173806,0,no_visible_change,fbi_report,none,FBI 302 interview page about a victim's background and encounters with Epstein. Both versions appear identical with same redaction patterns over victim names and identifying details throughout.,,1772696995
EFTA00173816,3,partial_redaction,fbi_302,medium,Original FBI 302 interview page showed location name INTERLOCHEN visible alongside existing name redactions; current version has expanded black redaction bar that now covers INTERLOCHEN location name in addition to the previously redacted personal names.,,1772696995
EFTA00173820,0,no_visible_change,fbi_report,none,Both versions of this FBI investigation report page appear identical. The same dense redaction patterns over names and details are present in both the original and current versions.,,1772695986
EFTA00173832,0,name_redaction,fbi_302,medium,Black redaction bars applied over names throughout the FBI 302 interview report. Original showed interviewee names and referenced names visible. Both versions already had some redactions.,,1772696995
EFTA00173834,0,no_visible_change,fbi_report,none,Both versions appear visually identical. No changes detected in this FBI investigation report page.,,1772695986
EFTA00174374,0,partial_redaction,fbi_email,high,"FBI email re: Brasilia Visit - UNCLASSIFIED//FOUO dated Aug 24 2023. Original shows full From/To/Cc with names: Mark Grimm, Tonic DeLong, Gabriela Betancez, James Kelley, Jennifer Whitaker, OWHITTAKER, Leslie Buckschier. References Legat Gonzalez, ALAT Dreher, AS Parkhouse. Current version has entire From/To/Cc block blacked out, and names within body text (Legat/ALAT/AS names) partially redacted. FBI overseas operations personnel names removed.",agent_batch_001,1772672472
EFTA00174956,0,name_redaction,email,medium,Email with pre-existing redactions; both versions appear substantively identical with minor rendering variation.,,1772713228
EFTA00175214,53,partial_redaction,financial_document,medium,"Financial/banking document — account numbers, transaction details, or employee emails blacked out. Batch-classified. pct_changed=10.2%","financial,banking,batch_classified",2026-03-04 18:47:11
EFTA00175589,127,partial_redaction,legal_filing,medium,Legal filing — names/addresses/identifiers partially redacted in court documents. Batch-classified. pct_changed=9.2%,"legal_filing,batch_classified",2026-03-04 18:47:11
EFTA00175962,4,name_redaction,legal_filing,medium,Letter from Dershowitz Eiger & Adelson to AUSA Marie Villafana about contacting clients Sarah Kellen and Nadia Marcinkova. Current version adds small redactions over partial names visible in the letter body text.,,1772695399
